ticket_text,category,urgency
"Subject: Probleme bei der Rechnungsstellung

Betreff: Fakturierungsprobleme\n\nSehr geehrte Kundenservice, ich habe Unstimmigkeiten in den Rechnungen für die Analysedienstleistungen bemerkt, die ich derzeit mit dem Systemfehler und Missverständnissen zurückzuführen glaube. Trotz der manuellen Reconciliation und des Rechenschaftsgebers bleiben die Unstimmigkeiten ungelöst. Ich freue mich, wenn Sie sich bald um diese Angelegenheit kümmern und eine mögliche Lösung anbieten können.",Problem,High
"Subject: 

The hospital's healthcare system has experienced unauthorized access, putting the security of medical data at risk. A suspected phishing ransomware attack is being considered. Passwords have been changed and firewall rules updated, yet the issue persists. Our team is working diligently to resolve the problem and ensure the security of patient information. We are closely monitoring the situation and taking necessary precautions to prevent further unauthorized access. We appreciate your assistance in this matter and look forward to your prompt response. Please keep us informed.",Incident,High
"Subject: Problem bei der Anwendung eines Gutscheincodes auf meine heutige Amazon Fresh Bestellung

Sehr geehrte Damen und Herren,\n\nich kontaktiere Sie bezüglich eines Problems, das ich heute, am 10. Januar, gegen 10:00 Uhr beim Auschecken meiner letzten Amazon Fresh Bestellung hatte. Ich habe versucht, einen Gutscheincode für meine Bestellung zu verwenden, aber er wurde nicht angewendet. Ich habe überprüft, ob der Code tatsächlich gültig war und meine Bestellung die Voraussetzungen für die Werbeaktion erfüllte. Der Rabatt wurde jedoch nicht im Endpreis berücksichtigt. Ich habe einen Screenshot der Bestellübersicht dieser Anfrage beigefügt. Ich wäre Ihnen dankbar, wenn Sie die Angelegenheit untersuchen und eine Lösung anbieten könnten.",Request,Low
"Subject: Betreff: GPS-Tracking-Probleme, die den Veranstaltungsaufbau beeinträchtigen

Support-Team,\n\nDie von unserer Tour-Crew verwendeten GPS-Tracking-Geräte weisen zeitweise Ausfälle auf, was zu Verzögerungen beim Veranstaltungsaufbau führt. Als Übergangslösung haben wir manuelle Check-ins aktiviert. Wir benötigen eine Lösung für dieses Problem innerhalb der nächsten 24 Stunden. Vielen Dank für Ihre umgehende Bearbeitung dieser Angelegenheit.\n\n- <name>",Request,Low
"Subject: Skepsis bezüglich der Resultate der jüngsten Digital-Marketingkampagne

Die Digital-Agentur hat die Markenbekanntheit durch die Kampagne gesteigert; jedoch bestehen Bedenken hinsichtlich möglicher Fehler bei der Zielgruppensegmentierung und Kommunikationsproblemen. Es werden Strategien zur Anpassung und Neugestaltung der Kampagne geprüft. Wir schätzen, dass wir eine Lösung finden und eine Erklärung für die Thematik bereitstellen können.",Incident,High
"Subject: Concern About Data Analytics

The data analytics tool is experiencing problems likely due to software compatibility issues. Efforts to restart and reconfigure the tool have been unsuccessful.",Incident,High
"Subject: Problem mit den Informationen zum Vorführfahrzeug

Hallo Team,\n\nich schreibe Ihnen, um über sporadische Synchronisierungsprobleme im Zusammenhang mit unserem Vorführfahrzeugbestand zu berichten. Könnten Sie mir bitte bei diesem Problem behilflich sein?",Request,Low
"Subject: Wichtige Maßnahmen für die Datensicherheit im Krankenhaus

Berechtigte Kundenservice, ich möchte die Bedeutung der Implementierung eines erweiterten Sicherheitsprotokolls betonen, um die Sicherheit medizinischer Daten zu verbessern und die IT-Infrastruktur des Krankenhauses aufzuhochziehen. Angesichts des steigenden Anstiegs von Cyberangriffen auf Gesundheitsinstitute ist es entscheidend, proaktive Maßnahmen zu ergreifen, um vertrauliche Patientendaten zu schützen. Das Implementieren robuster Firewalls, der Datenverschlüsselung und regelmäßiger Sicherheitsprüfungen kann dies erreichen. Darüber hinaus ist die Bereitstellung von Trainings für das Krankenhauspersonal in Bezug auf Datensicherheitsstandards hilfreich, um Datenverletzungen zu verhindern. Ich schätze, dass wir gemeinsam einen Plan für die Verbesserung der Datensicherheit in der IT-Infrastruktur des Krankenhauses entwickeln können.",Change,Medium
"Subject: Enhance Digital Marketing Tactics Online

Kindly optimize our digital marketing tactics.",Change,Medium
"Subject: Issues with Connecting HyperX Cloud II Wireless Headset

I am having connectivity problems with my HyperX Cloud II Wireless Headset across different software like Zoom and Spotify. I have already updated the drivers and reconfigured the settings, but the issues still persist. I have tried troubleshooting, but the problem remains. I suspect it might be due to outdated drivers or software conflicts. I would greatly appreciate some assistance to ensure compatibility with my applications. Could you please provide additional troubleshooting steps or recommendations to resolve the issue? Thank you.",Incident,High
"Subject: Anfrage für archivierte Strava-Trainingsdaten

Sehr geehrte Damen und Herren,\n\nich schreibe Ihnen, um Unterstützung bei der Wiederherstellung meiner archivierten Trainingsberichte von Strava für meine persönliche Fitnessaufzeichnung zu erhalten. Als geschätztes Mitglied von PeakPerformance Gyms und Strava Premium-Abonnent würde ich mich sehr freuen, Zugang zu meinen historischen Trainingsinformationen zu erhalten, um meinen Fortschritt genau zu überwachen. Könnten Sie mir bitte Anweisungen geben, wie ich diese Berichte erhalten kann? Vielen Dank für Ihre Hilfe; ich erwarte Ihre umgehende Antwort.\n\nMit freundlichen Grüßen, <name>",Request,Low
"Subject: Brand Expansion Challenge

The report indicates inconsistent growth of the brand despite implementing digital strategies. Attempts to modify advertising channels and messaging have not yielded significant improvements. Potential reasons for this issue may include misaligned targeting or improper utilization of platforms. We would greatly appreciate your assistance in identifying the underlying cause and providing guidance to better align our targeting and platform usage to achieve our brand growth objectives. Please let us know if you need any additional information.",Problem,High
"Subject: Unterstützung bei Investmentstools für Datenanalyse

Ich wende mich an Sie, um zu ergründen, welche Werkzeuge für die Verbesserung meiner Investitionen empfohlen werden. Könnten Sie mir bitte eine Reihe von Vorschlägen geben? Meine Suche richtet sich nach Tools, die mir helfen sollen, meine Investitionsentscheidungen auf der Grundlage ausgewogener Informationen zu treffen. Ich bedanke mich im Voraus für Ihre Zeit und Unterstützung.",Request,Low
"Subject: Gemeldete Probleme bezüglich der Softwarekompatibilität

Geehrte Kundenservice-Team, ich habe Probleme mit der Softwarekompatibilität mehrerer Anwendungen. Neue Updates oder Konfigurationsänderungen könnten der Grund dafür sein. Ich habe bereits versucht, die betroffenen Anwendungen neu zu installieren und die Systemtreiber zu aktualisieren, aber das Problem behält sich beständig. Ich freue mich auf Ihre Unterstützung bei der Lösung dieses Problems. Die Fehlermeldungen sind unklar und ich bin unsicher, welchen nächsten Schritten ich folgen soll. Bitte helfen Sie mir, das Problem zu debuggen und eine Lösung anzubieten. Ich bin bereit, weitere Informationen bereitzustellen, um das Problem zu lösen.",Incident,High
